symbol,date,open,high,low,close,volume
GRINFRA,2021-07-19,1715.85,1838.0,1550.0,1747.1,14023521
GRINFRA,2021-07-20,1734.0,1775.0,1685.0,1719.5,2391188
GRINFRA,2021-07-22,1721.75,1757.4,1702.0,1741.35,640184
GRINFRA,2021-07-23,1741.35,1765.0,1723.0,1730.1,422588
GRINFRA,2021-07-26,1734.95,1734.95,1700.0,1706.8,189177
GRINFRA,2021-07-27,1705.0,1744.0,1689.0,1725.75,330655
GRINFRA,2021-07-28,1724.0,1765.85,1684.5,1743.5,350683
GRINFRA,2021-07-29,1739.95,1779.9,1720.2,1726.6,305632
GRINFRA,2021-07-30,1730.0,1745.0,1711.0,1732.3,89249
GRINFRA,2021-08-02,1740.0,1751.8,1711.05,1715.75,85049
GRINFRA,2021-08-03,1725.35,1743.45,1717.05,1732.0,132034
GRINFRA,2021-08-04,1755.0,1764.9,1705.0,1721.95,329014
GRINFRA,2021-08-05,1729.7,1729.7,1672.5,1706.25,121119
GRINFRA,2021-08-06,1699.0,1733.0,1680.0,1692.6,89811
GRINFRA,2021-08-09,1692.6,1703.35,1555.55,1609.75,154900
GRINFRA,2021-08-10,1606.0,1651.0,1575.0,1596.4,164676
GRINFRA,2021-08-11,1585.0,1643.1,1553.0,1620.2,158559
GRINFRA,2021-08-12,1620.25,1661.95,1620.25,1650.1,71501
GRINFRA,2021-08-13,1679.95,1737.85,1645.0,1662.1,543444
GRINFRA,2021-08-16,1663.3,1665.0,1590.25,1601.7,88917
GRINFRA,2021-08-17,1606.0,1624.8,1587.35,1597.15,139059
GRINFRA,2021-08-18,1598.0,1614.95,1598.0,1600.55,80139
GRINFRA,2021-08-20,1600.0,1623.4,1589.95,1604.75,98157
GRINFRA,2021-08-23,1615.6,1617.9,1564.0,1598.75,235548
GRINFRA,2021-08-24,1597.0,1619.7,1577.1,1608.9,84724
GRINFRA,2021-08-25,1609.6,1614.55,1576.5,1583.6,95201
GRINFRA,2021-08-26,1586.0,1594.95,1560.5,1579.45,27255
GRINFRA,2021-08-27,1579.45,1579.45,1543.0,1570.85,53066
GRINFRA,2021-08-30,1580.0,1598.85,1560.95,1592.55,57018
GRINFRA,2021-08-31,1616.8,1616.8,1581.05,1592.3,135361
GRINFRA,2021-09-01,1592.3,1604.45,1562.0,1571.3,60957
GRINFRA,2021-09-02,1564.0,1604.0,1564.0,1580.8,20691
GRINFRA,2021-09-03,1584.0,1644.9,1578.55,1639.85,66117
GRINFRA,2021-09-06,1622.0,1649.9,1601.15,1613.0,67561
GRINFRA,2021-09-07,1624.0,1644.45,1580.0,1597.8,63834
GRINFRA,2021-09-08,1599.95,1612.55,1586.0,1591.15,14360
GRINFRA,2021-09-09,1587.2,1608.05,1581.0,1587.95,19693
GRINFRA,2021-09-13,1585.0,1585.0,1567.15,1580.1,21936
GRINFRA,2021-09-14,1585.0,1608.0,1553.6,1568.4,117017
GRINFRA,2021-09-15,1574.9,1599.0,1563.8,1589.05,78214
GRINFRA,2021-09-16,1604.95,1604.95,1576.0,1586.05,27908
GRINFRA,2021-09-17,1596.9,1596.9,1559.0,1575.8,48899
GRINFRA,2021-09-20,1575.0,1640.0,1570.0,1589.95,87001
GRINFRA,2021-09-21,1597.9,1811.0,1589.75,1769.45,335157
GRINFRA,2021-09-22,1800.0,2047.0,1781.0,1948.05,1191254
GRINFRA,2021-09-23,1956.8,2016.0,1896.0,1936.4,448283
GRINFRA,2021-09-24,1946.0,1981.2,1915.0,1941.1,185427
GRINFRA,2021-09-27,1945.0,1974.0,1861.0,1934.5,134602
GRINFRA,2021-09-28,1921.1,1934.05,1797.1,1872.05,195993
GRINFRA,2021-09-29,1858.0,1950.85,1858.0,1897.7,113650
GRINFRA,2021-09-30,1910.0,1926.0,1850.0,1866.65,83742
