symbol,date,open,high,low,close,volume
TARC,2020-12-18,21.0,22.05,20.05,22.05,1382377
TARC,2020-12-21,23.15,23.15,20.95,22.55,1051432
TARC,2020-12-22,21.45,23.0,21.45,22.2,309977
TARC,2020-12-23,22.6,22.7,21.1,21.1,475518
TARC,2020-12-24,21.0,21.95,20.05,20.05,310078
TARC,2020-12-28,19.5,21.05,19.05,20.8,786619
TARC,2020-12-29,21.5,21.8,21.05,21.55,646536
TARC,2020-12-30,21.15,22.0,20.65,21.6,221310
TARC,2020-12-31,22.15,22.65,21.75,22.65,411092
TARC,2021-01-01,23.75,23.75,23.75,23.75,138373
TARC,2021-01-04,24.75,27.9,22.05,24.55,1006290
TARC,2021-01-05,24.05,25.9,22.95,24.75,441530
TARC,2021-01-06,24.75,25.8,23.5,24.05,331567
TARC,2021-01-07,23.7,26.75,22.7,24.3,1223560
TARC,2021-01-08,24.5,25.0,24.0,24.05,269593
TARC,2021-01-11,23.9,25.4,23.5,24.2,668081
TARC,2021-01-12,24.25,27.25,24.05,25.95,921865
TARC,2021-01-13,26.55,27.25,24.5,25.05,702893
TARC,2021-01-14,25.0,27.5,24.5,26.65,704592
TARC,2021-01-15,26.65,27.5,25.75,26.6,499591
TARC,2021-01-18,27.8,28.7,26.05,26.85,592549
TARC,2021-01-19,26.95,27.85,24.85,26.5,1166959
TARC,2021-01-20,26.5,27.25,26.15,27.0,696359
TARC,2021-01-21,26.9,27.3,25.5,25.65,718634
TARC,2021-01-22,25.65,25.9,24.5,25.0,506000
TARC,2021-01-25,25.75,25.8,23.75,24.1,563012
TARC,2021-01-27,24.15,25.4,23.1,23.75,346699
TARC,2021-01-28,23.95,23.95,20.7,22.75,1301371
TARC,2021-01-29,23.1,23.95,22.1,22.8,687349
TARC,2021-02-01,23.0,23.0,21.3,22.45,577651
TARC,2021-02-02,22.2,22.75,21.25,21.9,529390
TARC,2021-02-03,22.0,22.0,21.05,21.25,453896
TARC,2021-02-04,21.5,21.95,21.3,21.7,491620
TARC,2021-02-05,21.85,23.0,21.7,22.85,909016
TARC,2021-02-08,23.65,27.0,23.3,25.8,2722000
TARC,2021-02-09,26.1,27.5,25.45,25.8,1345767
TARC,2021-02-10,26.1,26.5,25.05,25.6,424032
TARC,2021-02-11,25.2,26.35,25.1,25.85,410967
TARC,2021-02-12,26.1,29.9,25.9,29.3,2075053
TARC,2021-02-15,29.85,34.95,29.3,32.15,3348965
TARC,2021-02-16,32.9,34.3,29.9,30.15,916911
TARC,2021-02-17,30.55,31.5,29.1,30.15,504180
TARC,2021-02-18,30.8,32.0,30.0,31.6,499524
TARC,2021-02-19,32.25,34.4,31.4,33.05,1757536
TARC,2021-02-22,34.0,35.8,33.75,34.25,1623091
TARC,2021-02-23,36.45,36.45,33.95,34.5,1092410
TARC,2021-02-24,35.25,35.25,33.2,33.65,545242
TARC,2021-02-25,34.0,34.4,33.25,33.85,656120
