symbol,date,open,high,low,close,volume
BLS,2016-06-15,22.38,23.48,21.27,21.85,264920
BLS,2016-06-16,22.25,22.8,21.25,21.5,94080
BLS,2016-06-17,21.75,21.88,21.63,21.8,208160
BLS,2016-06-20,21.88,22.29,21.75,22.28,245920
BLS,2016-06-21,22.3,22.33,22.22,22.33,415520
BLS,2016-06-22,22.33,23.15,22.33,23.13,435280
BLS,2016-06-23,23.17,23.3,23.17,23.3,412640
BLS,2016-06-24,23.3,23.3,22.87,23.01,340240
BLS,2016-06-27,22.98,23.2,22.97,23.2,433160
BLS,2016-06-28,23.21,23.45,23.21,23.45,267960
BLS,2016-06-29,23.46,23.65,23.46,23.65,400080
BLS,2016-06-30,23.65,24.0,23.65,24.0,547520
BLS,2016-07-01,24.05,24.21,23.83,24.21,483040
BLS,2016-07-04,24.3,24.75,24.19,24.75,371960
BLS,2016-07-05,24.75,24.86,24.4,24.42,400560
BLS,2016-07-07,24.25,24.57,24.2,24.5,500520
BLS,2016-07-08,24.45,24.55,24.34,24.49,359400
BLS,2016-07-11,25.67,25.67,24.7,24.95,348040
BLS,2016-07-12,24.95,25.0,24.7,24.71,373160
BLS,2016-07-13,24.63,24.67,24.53,24.55,151960
BLS,2016-07-14,24.6,24.64,24.52,24.52,355240
BLS,2016-07-15,25.48,25.48,24.5,24.5,95200
BLS,2016-07-18,24.5,24.58,24.27,24.5,84840
BLS,2016-07-19,24.98,24.98,24.05,24.13,141640
BLS,2016-07-20,24.13,24.15,23.75,23.85,170920
BLS,2016-07-21,23.85,23.98,23.83,23.93,361520
BLS,2016-07-22,23.9,23.95,23.83,23.94,272400
BLS,2016-07-25,23.92,24.0,23.9,24.0,301400
BLS,2016-07-26,24.05,24.2,24.05,24.19,313440
BLS,2016-07-27,24.06,24.15,24.05,24.15,332160
BLS,2016-07-28,24.17,24.42,24.15,24.42,368440
BLS,2016-07-29,24.3,24.38,23.2,23.2,295720
BLS,2016-08-01,23.23,24.0,22.05,23.93,315280
BLS,2016-08-02,24.5,24.97,24.38,24.76,431320
BLS,2016-08-03,24.83,24.85,24.58,24.64,294240
BLS,2016-08-04,24.85,25.0,24.83,24.91,531840
BLS,2016-08-05,24.95,24.96,24.75,24.83,355760
BLS,2016-08-08,24.98,24.98,24.5,24.57,358920
BLS,2016-08-09,24.52,24.58,23.6,24.27,312640
BLS,2016-08-10,24.25,24.27,24.08,24.13,256080
BLS,2016-08-11,24.13,24.2,24.13,24.2,138480
BLS,2016-08-12,24.25,24.45,24.25,24.36,318240
BLS,2016-08-16,24.5,24.58,24.4,24.4,149160
BLS,2016-08-17,24.33,24.42,24.33,24.38,230800
BLS,2016-08-18,24.5,24.67,24.5,24.66,307280
BLS,2016-08-19,24.5,24.65,24.47,24.53,265320
BLS,2016-08-22,24.33,24.42,24.29,24.4,255000
BLS,2016-08-23,24.2,24.27,24.17,24.2,222120
BLS,2016-08-24,24.25,24.38,24.18,24.36,260000
BLS,2016-08-25,24.17,24.26,24.04,24.26,300320
BLS,2016-08-26,24.08,24.19,24.05,24.19,309000
BLS,2016-08-29,24.05,24.13,24.0,24.13,324800
BLS,2016-08-30,24.14,24.23,24.14,24.17,202880
BLS,2016-08-31,24.2,24.25,24.19,24.25,210280
BLS,2016-09-01,24.27,24.3,24.24,24.28,86080
BLS,2016-09-02,24.27,24.33,24.27,24.29,161240
BLS,2016-09-06,24.33,24.36,24.23,24.3,212360
BLS,2016-09-07,24.29,24.36,24.23,24.35,229000
BLS,2016-09-08,24.36,24.95,24.36,24.75,237400
BLS,2016-09-09,24.5,25.98,24.38,25.98,508080
BLS,2016-09-12,25.63,27.28,25.63,27.28,56560
BLS,2016-09-14,28.63,28.64,27.5,27.75,80640
BLS,2016-09-15,28.45,29.14,28.45,29.14,88600
BLS,2016-09-16,29.75,30.58,29.5,30.3,69280
BLS,2016-09-19,31.63,31.63,30.75,30.99,8800
BLS,2016-09-20,31.38,31.5,29.44,31.48,125480
BLS,2016-09-21,31.5,33.0,31.48,32.5,23560
BLS,2016-09-22,33.0,34.13,33.0,33.93,112840
BLS,2016-09-23,35.63,35.63,33.75,34.21,134920
BLS,2016-09-26,34.13,35.38,34.13,35.25,175680
BLS,2016-09-27,35.0,35.75,34.55,35.25,483920
BLS,2016-09-28,35.25,35.25,34.35,34.5,201280
BLS,2016-09-29,34.75,35.38,33.63,35.0,581640
BLS,2016-09-30,35.13,36.25,35.13,35.99,134720
BLS,2016-10-03,36.5,36.58,36.42,36.58,115880
BLS,2016-10-04,38.35,38.4,36.45,38.4,225600
BLS,2016-10-05,39.05,40.32,39.05,40.32,88280
BLS,2016-10-06,42.34,42.34,40.75,41.8,323040
BLS,2016-10-07,42.5,42.5,41.63,41.8,159880
BLS,2016-10-10,43.75,43.88,42.13,42.81,169680
BLS,2016-10-13,42.83,44.88,42.61,42.86,35760
BLS,2016-10-14,43.13,44.75,42.75,43.94,125240
BLS,2016-10-17,43.75,45.0,42.5,43.17,160760
BLS,2016-10-18,44.0,45.25,43.0,44.88,248520
BLS,2016-10-19,46.5,46.5,42.63,43.26,240120
BLS,2016-10-20,43.25,45.42,43.13,45.02,183080
BLS,2016-10-21,45.75,47.27,45.5,46.25,102360
BLS,2016-10-24,47.47,47.5,46.25,46.49,143320
BLS,2016-10-25,46.5,46.5,46.0,46.2,134880
BLS,2016-10-26,46.0,47.38,45.95,46.0,7440
BLS,2016-10-27,46.05,47.0,45.83,46.24,129600
BLS,2016-10-28,48.0,48.0,45.95,46.0,84360
BLS,2016-10-30,46.75,47.5,46.5,47.43,101880
BLS,2016-11-01,46.5,49.78,45.63,46.31,94960
BLS,2016-11-02,45.9,46.2,45.7,46.1,94640
BLS,2016-11-03,47.25,47.25,46.0,46.6,99320
BLS,2016-11-04,46.0,46.13,45.0,45.09,91360
BLS,2016-11-07,47.25,47.25,45.0,45.76,149840
BLS,2016-11-08,46.0,46.03,43.78,44.87,55360
BLS,2016-11-09,42.63,43.75,42.63,43.71,12160
BLS,2016-11-10,44.25,44.25,43.63,43.63,1240
BLS,2016-11-11,45.0,45.0,43.75,44.27,15360
BLS,2016-11-15,43.75,43.75,42.09,42.09,5520
BLS,2016-11-16,40.0,43.0,39.98,42.52,68720
BLS,2016-11-17,44.58,44.58,42.85,42.87,118080
BLS,2016-11-18,43.75,43.75,42.5,43.22,134520
BLS,2016-11-21,44.7,44.7,41.06,42.42,88680
BLS,2016-11-22,43.25,43.38,40.33,41.9,199600
BLS,2016-11-23,43.13,43.13,41.78,41.78,395400
