symbol,date,open,high,low,close,volume
360ONE,2019-09-19,302.5,317.63,302.5,317.63,7109860
360ONE,2019-09-20,332.25,333.5,332.25,333.5,2760648
360ONE,2019-09-23,350.17,350.17,350.17,350.17,34096
360ONE,2019-09-24,367.67,367.67,367.67,367.67,2496652
360ONE,2019-09-25,386.05,386.05,349.3,351.23,530580
360ONE,2019-09-26,338.75,367.5,333.69,334.04,78256
360ONE,2019-09-27,333.5,343.75,317.77,325.02,7044544
360ONE,2019-09-30,312.89,341.25,308.77,308.77,69396
360ONE,2019-10-01,300.75,324.2,293.33,318.58,181556
360ONE,2019-10-03,318.58,324.98,303.0,322.44,54700
360ONE,2019-10-04,313.02,323.23,306.5,319.94,41088
360ONE,2019-10-07,322.45,324.96,310.27,319.85,33696
360ONE,2019-10-09,319.75,322.25,305.0,308.96,63688
360ONE,2019-10-10,300.32,312.48,295.25,297.85,17264
360ONE,2019-10-11,298.98,299.98,287.5,288.98,82748
360ONE,2019-10-14,287.52,287.52,271.25,275.92,78136
360ONE,2019-10-15,271.65,321.94,271.64,280.89,1193280
360ONE,2019-10-16,275.79,294.69,275.79,287.2,17496
360ONE,2019-10-17,296.0,300.0,279.0,295.33,25044
360ONE,2019-10-18,310.0,310.0,295.0,300.69,19864
360ONE,2019-10-22,310.0,310.0,282.52,296.83,28188
360ONE,2019-10-23,297.5,305.23,297.04,302.0,26960
360ONE,2019-10-24,311.23,311.23,299.98,301.8,4612
360ONE,2019-10-25,311.0,321.25,302.52,316.44,71760
360ONE,2019-10-27,324.73,333.25,320.25,325.02,19848
360ONE,2019-10-29,326.25,331.0,317.5,325.13,88912
360ONE,2019-10-30,335.0,335.0,323.77,327.57,89444
360ONE,2019-10-31,328.02,333.5,328.0,331.86,165132
360ONE,2019-11-01,331.25,334.75,330.27,332.79,96216
360ONE,2019-11-04,333.0,338.25,315.21,328.77,53556
360ONE,2019-11-05,331.75,331.75,318.75,320.73,23288
360ONE,2019-11-06,333.5,333.5,318.75,322.46,28080
360ONE,2019-11-07,324.73,325.0,312.23,313.23,34124
360ONE,2019-11-08,318.58,322.5,303.86,312.38,24232
360ONE,2019-11-11,310.98,320.0,306.9,314.83,23028
360ONE,2019-11-13,312.0,312.0,302.75,308.79,54100
360ONE,2019-11-14,315.04,315.05,301.52,305.95,14016
360ONE,2019-11-15,305.83,315.27,303.75,307.33,50200
360ONE,2019-11-18,302.27,308.5,302.27,304.08,15372
360ONE,2019-11-19,304.46,311.0,304.46,306.95,23096
360ONE,2019-11-20,320.75,320.75,307.6,310.07,15648
360ONE,2019-11-21,310.0,316.86,303.07,311.73,56868
360ONE,2019-11-22,306.75,318.48,303.07,309.42,25476
360ONE,2019-11-25,309.42,319.75,308.14,318.11,18524
360ONE,2019-11-26,321.23,331.23,321.23,327.83,152500
360ONE,2019-11-27,327.94,330.73,303.89,324.1,38632
360ONE,2019-11-28,325.25,337.5,317.52,334.95,66972
360ONE,2019-11-29,337.23,337.25,322.82,327.85,23172
360ONE,2019-12-02,330.0,330.0,317.25,320.58,11344
360ONE,2019-12-03,321.25,321.25,311.17,316.23,15812
360ONE,2019-12-04,323.85,324.98,308.75,311.52,60672
360ONE,2019-12-05,319.08,319.08,309.02,312.11,8784
360ONE,2019-12-06,311.14,322.5,302.5,305.83,14508
360ONE,2019-12-09,312.5,312.5,293.07,295.9,15124
