symbol,date,open,high,low,close,volume
POCL,2023-03-06,356.55,356.55,326.6,339.65,16275
POCL,2023-03-08,330.2,342.0,325.0,332.05,6386
POCL,2023-03-09,334.0,337.9,321.8,330.9,13264
POCL,2023-03-10,328.05,329.4,318.65,322.0,10664
POCL,2023-03-13,322.0,327.4,308.5,313.45,13774
POCL,2023-03-14,313.55,313.65,297.05,304.05,20965
POCL,2023-03-15,304.05,311.8,300.0,300.85,16930
POCL,2023-03-16,300.1,302.0,293.35,296.35,15317
POCL,2023-03-17,300.9,304.7,295.6,297.25,10072
POCL,2023-03-20,298.75,304.8,295.05,296.3,6829
POCL,2023-03-21,305.9,307.0,296.3,303.6,10482
POCL,2023-03-22,305.6,309.7,294.85,296.85,16696
POCL,2023-03-23,299.4,308.5,296.6,300.55,26368
POCL,2023-03-24,301.6,302.2,294.25,296.85,10004
POCL,2023-03-27,301.5,301.5,277.05,279.95,13974
POCL,2023-03-28,281.0,284.4,262.1,271.35,40402
POCL,2023-03-29,271.4,277.0,262.1,267.75,17150
POCL,2023-03-31,274.4,304.7,270.55,296.6,51489
POCL,2023-04-03,308.0,324.95,300.05,319.95,36474
POCL,2023-04-05,321.75,326.9,304.6,315.7,29292
POCL,2023-04-06,312.6,338.9,312.6,329.7,30251
POCL,2023-04-10,339.85,345.0,327.05,333.95,17736
POCL,2023-04-11,334.95,342.35,330.9,334.85,7912
POCL,2023-04-12,338.2,339.05,324.05,329.6,11778
POCL,2023-04-13,330.0,339.45,330.0,335.25,8402
POCL,2023-04-17,340.3,340.3,330.05,331.9,11791
POCL,2023-04-18,337.4,339.0,331.3,332.95,8016
POCL,2023-04-19,328.0,337.0,325.0,326.05,10901
POCL,2023-04-20,333.5,335.0,326.95,332.2,6180
POCL,2023-04-21,334.9,335.65,329.4,331.75,6427
POCL,2023-04-24,334.0,334.55,328.0,328.5,5097
POCL,2023-04-25,324.0,333.95,324.0,326.65,11772
POCL,2023-04-26,328.1,334.0,324.05,325.5,10289
POCL,2023-04-27,326.2,333.0,324.1,328.0,9558
POCL,2023-04-28,331.1,378.0,328.95,367.55,204529
POCL,2023-05-02,371.8,375.0,354.7,358.0,49827
POCL,2023-05-03,359.45,368.0,353.05,366.4,27225
POCL,2023-05-04,370.05,378.0,362.6,368.65,28547
POCL,2023-05-05,372.35,372.35,355.0,359.6,20126
POCL,2023-05-08,365.0,369.8,360.1,364.45,28856
POCL,2023-05-09,369.8,382.1,352.55,375.85,72817
POCL,2023-05-10,381.5,386.0,375.9,380.9,55068
POCL,2023-05-11,384.85,384.85,365.75,369.45,22806
POCL,2023-05-12,373.05,373.9,363.0,366.0,12981
POCL,2023-05-15,366.0,373.4,365.75,367.55,8376
